범죄분류,초범,즉결심판,기소유예,선도유예,수배중,보호처분,선고유예,집행유예중,보석_형집행정지중,가석방,형(재산형포함)집행종료,감호소출소,기타,미상
절도,10443,11,2199,436,20,3975,12,28,5,2,748,4,1592,533
장물,235,0,45,15,0,81,0,2,0,0,16,0,31,18
사기,2043,4,636,134,8,1578,5,19,2,1,341,2,464,988
횡령,838,1,170,31,0,171,0,1,0,0,51,0,78,83
배임,0,0,0,0,0,0,0,0,0,0,0,0,0,1
손괴,424,0,117,21,0,181,1,2,2,0,51,0,50,106
살인,12,0,2,0,0,1,1,0,0,0,0,0,0,2
강도,76,0,35,2,2,70,0,0,0,0,25,0,22,12
방화,79,0,8,5,0,15,0,0,0,0,4,0,4,3
성폭력,2109,0,214,31,1,274,1,6,0,1,44,1,95,306
폭행,4761,2,1075,180,7,1485,6,18,3,0,341,1,486,3152
상해,3512,1,795,136,2,1132,3,13,2,0,262,0,384,277
협박,261,0,56,10,0,84,0,1,0,0,19,0,18,177
공갈,636,0,185,38,2,436,2,5,0,0,61,0,115,117
약취와유인,11,0,2,0,0,8,0,0,0,0,0,0,1,1
체포와감금,103,0,16,1,1,53,0,2,1,0,9,0,17,37
"폭력행위등(손괴,강요,주거침입등)",274,0,60,9,0,53,0,0,0,0,22,0,32,25
폭력행위등(단체등의구성·활동),14,0,4,0,0,12,0,2,0,0,5,0,8,1
통화,6,0,1,0,0,8,0,0,0,0,0,0,3,2
유가증권·인지·우표,1,0,0,0,0,1,0,0,0,0,1,0,0,1
문서,1083,0,154,30,0,240,4,3,0,0,50,0,81,111
인장,8,0,3,0,0,1,0,0,0,0,0,0,0,2
직무유기,0,0,0,0,0,0,0,0,0,0,0,0,0,3
직권남용,0,0,0,0,0,0,0,0,0,0,0,0,0,1
도박과복표,51,0,12,0,0,13,0,0,0,0,3,0,1,6
기타음란행위,50,0,10,0,0,5,0,0,0,0,0,0,2,9
과실치사상,39,0,2,0,0,3,0,0,0,0,0,0,0,26
업무상과실치사상,8,0,1,0,0,0,0,0,0,0,0,0,0,0
실화,52,0,8,1,0,0,0,0,0,0,1,0,8,3
명예,744,0,44,8,0,71,0,1,0,0,18,0,21,610
권리행사방해,53,0,6,2,0,22,0,0,0,0,6,0,4,16
신용업무경매,50,0,19,2,2,26,0,2,0,0,2,0,10,24
주거침입,236,0,54,6,0,59,1,0,2,0,9,0,24,44
비밀침해,1,0,0,0,0,0,0,0,0,0,0,0,0,0
유기,6,0,1,0,0,2,0,0,0,0,0,0,0,0
공무방해,106,0,34,7,0,57,0,1,2,0,21,0,20,11
도주와범인은닉,13,0,8,2,0,3,0,0,0,0,2,0,1,3
위증과증거인멸,1,0,1,0,0,0,0,0,0,0,0,0,2,15
무고,9,0,0,0,0,4,0,0,0,0,0,0,1,40
공안을해하는죄,2,0,0,0,0,4,0,0,0,0,0,0,0,1
기타,1,0,1,0,0,0,0,0,0,0,0,0,0,0
개발제한구역의지정및관리에관한특별조치법,0,0,0,0,0,0,0,0,0,0,0,0,0,1
개인정보보호법,6,0,2,0,0,1,0,0,0,0,0,0,0,1
게임산업진흥에관한법률,62,0,4,0,0,3,0,0,0,0,2,0,5,16
경범죄처벌법,21,0,14,2,0,14,0,0,0,0,7,0,3,6
공중위생관리법,1,0,0,0,0,2,0,0,0,0,0,0,0,4
공직선거법,7,0,0,0,0,3,0,0,0,0,0,0,0,0
교통사고처리특례법,1166,0,284,53,3,274,2,1,0,0,152,1,139,913
국민체육진흥법,5,0,0,0,0,0,0,0,0,0,0,0,1,0
근로기준법,1,0,0,0,0,0,0,0,0,0,0,0,0,2
근로자퇴직급여보장법,0,0,0,0,0,0,0,0,0,0,0,0,0,1
농수산물의원산지표시에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,1
대기환경보전법,0,0,0,0,0,0,0,0,0,0,0,0,0,2
대부업등의등록및금융이용자보호에관한법률,1,0,2,0,0,1,0,0,0,0,0,0,2,1
도로교통법,3052,0,839,148,1,930,4,7,0,0,405,0,395,338
도로법,1,0,1,0,0,0,0,1,0,0,0,0,0,1
마약류관리에관한법률,23,0,5,0,0,4,0,0,0,0,4,0,1,6
물환경보전법,1,0,0,0,0,0,0,0,0,0,0,0,0,0
사행행위등규제및처벌특례법,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상표법,3,0,0,0,0,1,0,0,0,0,0,0,1,0
성매매알선등행위의처벌에관한법률,136,0,31,3,0,30,0,0,0,0,12,1,14,34
식품위생법,8,0,1,0,0,1,0,0,0,0,0,0,0,2
