범죄분류,동종재범_1개월 이내,동종재범_3개월 이내,동종재범_6개월 이내,동종재범_1년 이내,동종재범_2년 이내,동종재범_3년 이내,동종재범_3년 초과,이종재범_1개월 이내,이종재범_3개월 이내,이종재범_6개월 이내,이종재범_1년 이내,이종재범_2년 이내,이종재범_3년 이내,이종재범_3년 초과
절도,1064,1001,713,1381,403,206,50,724,892,718,1180,421,180,94
장물,11,16,12,19,9,5,1,17,17,21,38,13,9,2
사기,391,382,232,457,99,57,13,253,334,220,459,148,110,38
횡령,18,30,35,55,15,16,1,43,49,30,112,55,23,21
손괴,19,20,19,30,13,13,3,18,46,45,95,61,33,10
살인,0,0,1,0,0,1,0,0,0,1,1,0,0,0
강도,8,15,9,12,7,2,0,14,16,18,29,10,9,7
방화,1,2,2,3,3,0,1,7,3,2,11,1,0,0
성폭력,12,17,27,51,15,9,9,43,67,68,193,74,44,39
폭행,108,223,217,458,197,121,43,180,325,326,719,373,221,90
상해,104,184,185,327,160,88,27,131,240,231,560,271,165,56
협박,8,9,10,21,7,5,2,12,23,10,44,24,9,4
공갈,61,54,48,105,27,13,1,72,105,97,180,56,16,9
약취와유인,0,0,0,0,2,0,0,0,3,1,4,0,1,0
체포와감금,6,8,4,9,4,2,0,7,10,9,32,4,4,1
"폭력행위등(손괴,강요,주거침입등)",6,15,16,14,8,5,1,17,15,14,37,20,6,2
"폭력행위등(단체등의구성,활동)",0,5,4,2,0,3,0,0,0,2,11,0,3,1
통화,2,0,0,2,0,0,0,0,0,0,4,1,1,2
유가증권·인지·우표,0,0,0,0,0,0,0,0,0,0,0,1,1,0
문서,24,30,24,49,23,12,2,42,56,41,128,69,43,19
인장,0,0,0,0,0,0,0,2,1,1,0,0,0,0
도박과복표,0,3,0,1,0,1,1,1,2,5,5,6,3,1
기타음란행위,0,1,2,1,3,0,0,4,0,2,1,2,1,0
과실치사상,0,0,0,1,0,0,0,0,0,1,2,1,0,0
업무상과실치사상,0,0,0,0,0,0,0,0,0,0,0,1,0,0
실화,0,0,0,2,0,0,0,1,3,2,1,3,5,1
명예,6,4,9,12,3,3,4,6,20,10,47,19,13,7
권리행사방해,2,4,4,5,1,0,0,3,6,3,7,4,1,0
신용업무경매,3,4,1,0,4,0,1,6,6,8,14,9,6,1
주거침입,5,8,10,14,8,4,4,14,11,8,35,21,6,7
유기,0,0,0,0,0,1,1,0,0,0,0,0,1,0
공무방해,4,10,5,12,2,4,1,9,13,19,34,10,9,10
도주와범인은닉,0,2,1,0,2,0,0,0,0,1,5,4,1,0
위증과증거인멸,0,0,1,0,0,0,0,0,0,0,2,0,0,0
무고,0,0,0,0,1,0,1,0,1,0,0,1,1,0
공안을해하는죄,0,0,0,2,2,0,0,0,0,0,0,0,0,0
기타,0,0,0,0,0,0,0,0,0,0,0,1,0,0
개인정보보호법,0,0,0,2,0,0,0,0,0,0,1,0,0,0
게임산업진흥에관한법률,0,0,0,2,1,0,0,0,2,1,2,3,1,2
경범죄처벌법,2,3,0,4,0,0,0,2,1,6,9,6,5,2
공중위생관리법,0,0,0,1,0,0,0,0,0,0,1,0,0,0
공직선거법,0,0,0,0,1,0,0,1,0,0,0,0,1,0
교통사고처리특례법,26,33,33,89,48,32,8,40,55,76,210,135,82,41
국민체육진흥법,0,0,0,0,0,0,0,0,0,1,0,0,0,0
대부업등의등록및금융이용자보호에관한법률,0,0,0,3,0,0,0,0,0,0,1,1,0,0
도로교통법,122,176,176,324,123,65,22,153,238,211,595,274,168,81
도로법,0,0,0,0,0,0,0,0,0,0,2,0,0,0
마약류관리에관한법률,1,1,2,2,1,1,0,3,1,0,1,0,0,1
상표법,0,1,0,0,0,0,0,0,0,0,0,0,1,0
성매매알선등행위의처벌에관한법률,1,0,6,12,2,2,1,7,3,10,17,12,7,10
식품위생법,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"아동,청소년의성보호에관한법률(성매수등)",11,1,5,10,3,1,0,13,15,22,45,13,4,6
"아동,청소년의성보호에관한법률(음란물등)",0,2,1,1,0,0,0,0,0,3,7,3,0,0
아동복지법,0,1,0,0,0,0,0,0,2,0,2,4,1,0
여신전문금융업법,4,0,1,4,2,0,0,5,6,0,14,3,1,0
의료법,0,0,0,0,0,0,0,0,0,0,3,2,2,0
자동차관리법,2,9,7,4,4,3,1,6,9,12,34,25,15,5
자동차손해배상보장법,11,14,14,23,12,8,0,16,27,30,73,35,22,7
저작권법,2,0,1,0,0,0,0,0,0,0,1,0,0,0
전자금융거래법,4,9,4,7,2,2,1,7,14,10,33,6,8,6
정보통신망이용촉진및정보보호등에관한법률,5,5,8,8,2,3,0,2,10,6,30,13,9,1
주민등록법,6,14,17,28,16,4,1,18,26,27,55,31,17,14
청소년보호법,4,11,5,11,10,3,2,4,16,7,37,22,15,18
특가법(도주차량),7,4,2,7,2,2,0,8,7,6,14,9,5,3
기타특별법,16,19,17,20,11,5,0,23,30,30,56,15,10,5
