범죄분류,정상_남,정상_여,정신이상_남,정신이상_여,정신박약_남,정신박약_여,기타정신장애_남,기타정신장애_여,주취_남,주취_여,월경시이상,미상
절도,16498,2436,22,1,22,1,121,12,305,49,2,539
장물,333,89,0,0,0,0,0,0,2,0,0,19
사기,4253,822,5,0,2,0,9,2,108,28,0,995
횡령,936,362,0,0,0,0,4,0,22,18,0,82
배임,0,0,0,0,0,0,0,0,0,0,0,1
손괴,517,58,3,0,4,0,14,0,227,27,0,105
살인,7,5,1,0,1,0,1,1,1,0,0,1
강도,174,49,1,0,0,0,0,0,8,0,0,12
방화,92,12,3,0,0,0,5,0,4,0,0,2
성폭력,2180,101,14,0,12,0,48,0,402,13,0,313
폭행,4801,1927,6,1,4,1,36,9,1324,257,0,3151
상해,3996,998,3,0,2,0,27,5,1034,179,0,274
협박,295,100,4,0,1,0,6,1,34,7,0,178
공갈,1306,150,0,0,0,0,6,0,14,2,0,119
약취와유인,17,4,0,0,0,0,1,0,0,0,0,1
체포와감금,127,65,1,0,0,0,0,0,3,6,0,38
"폭력행위등(손괴,강요,주거침입등)",345,71,0,0,0,0,0,0,27,7,0,25
"폭력행위등(단체등의구성,활동)",36,9,0,0,0,0,0,0,0,0,0,1
통화,15,2,0,0,0,0,1,0,0,0,0,2
유가증권·인지·우표,1,2,0,0,0,0,0,0,0,0,0,1
문서,926,615,0,0,0,0,0,0,53,51,0,111
인장,10,2,0,0,0,0,0,0,1,0,0,1
직무유기,0,0,0,0,0,0,0,0,0,0,0,3
직권남용,0,0,0,0,0,0,0,0,0,0,0,1
도박과복표,79,1,0,0,0,0,0,0,0,0,0,6
기타음란행위,60,1,0,0,0,0,5,0,1,0,0,9
과실치사상,26,11,0,0,0,0,3,0,4,0,0,26
업무상과실치사상,6,3,0,0,0,0,0,0,0,0,0,0
실화,56,10,0,0,0,0,0,0,4,0,0,3
명예,498,372,0,0,0,0,0,0,25,8,0,614
권리행사방해,81,11,0,0,0,0,0,0,1,0,0,16
신용업무경매,44,20,0,0,1,0,0,0,39,9,0,24
주거침입,292,46,0,2,2,0,6,0,37,5,0,45
비밀침해,0,1,0,0,0,0,0,0,0,0,0,0
유기,2,7,0,0,0,0,0,0,0,0,0,0
공무방해,80,15,2,0,0,0,1,0,120,29,0,12
도주와범인은닉,25,2,0,0,1,0,0,0,1,0,0,3
위증과증거인멸,0,3,0,0,0,0,0,0,1,0,0,15
무고,6,9,0,0,0,0,0,1,0,0,0,38
공안을해하는죄,6,0,0,0,0,0,0,0,0,0,0,1
기타,2,0,0,0,0,0,0,0,0,0,0,0
경범죄처벌법,23,6,1,0,0,0,1,0,24,6,0,6
교통사고처리특례법,1927,56,0,0,0,0,0,0,88,2,0,915
도로교통법,4954,172,0,1,0,0,4,0,624,26,0,338
마약류관리에관한법률,17,19,1,0,0,0,0,0,0,0,0,6
성매매알선등행위의처벌에관한법률,37,188,0,0,0,1,0,1,0,0,0,34
아동·청소년의성보호에관한법률(성매수등),115,124,0,0,0,0,0,0,0,0,0,23
아동·청소년의성보호에관한법률(음란물등),92,10,0,0,0,0,1,0,0,0,0,5
특가법(도주차량),101,8,0,0,0,0,0,0,6,0,0,17
