범죄분류,생활비마련,유흥비사치,호기심유혹우발적,가정불화,신고보복,기타미상,총범죄건수
절도,1343,4797,9410,67,0,3880,20008
장물,30,125,132,1,0,135,443
사기,1176,1908,599,8,0,1538,6225
횡령,35,261,644,1,1,397,1424
배임,0,0,0,0,0,0,1
손괴,0,1,521,50,1,325,955
살인,0,1,6,1,1,8,18
강도,44,72,61,0,0,55,244
방화,0,0,93,4,0,24,118
성폭력,9,79,1850,10,0,826,3083
폭행,14,73,5159,282,5,3068,11517
상해,3,34,3881,127,13,2291,6519
협박,0,8,240,35,5,191,626
공갈,106,468,408,10,4,488,1597
약취와 유인,2,5,10,0,0,5,23
체포와 감금,1,18,81,9,2,100,240
"폭력행위등(손괴,강요,주거침입등)",6,8,250,3,0,186,475
"폭력행위 등(단체 등의 구성,활동)",0,3,19,0,0,22,46
통화,2,6,6,0,0,4,20
"유가증권,인지,우표",0,1,0,0,0,2,4
문서,8,90,814,7,0,729,1756
인장,0,0,4,0,0,8,14
직무유기,0,0,0,0,0,0,3
직권남용,0,0,0,0,0,0,1
도박과 복표,1,36,25,0,0,18,86
기타 음란행위,0,3,45,0,0,19,76
과실치사상,0,0,13,0,0,31,70
업무상 과실치사상,0,0,0,0,0,9,9
실화,0,0,32,0,0,38,73
명예,0,15,400,26,0,485,1517
권리행사 방해,4,11,43,0,0,34,109
신용업무 경매,0,3,65,4,0,44,137
주거 침입,3,19,215,2,0,152,435
비밀침해,0,0,0,0,0,1,1
유기,0,0,4,0,0,5,9
공무방해,0,2,146,5,0,100,259
도주와 범인 은닉,0,1,10,0,0,17,32
위증과 증거인멸,0,1,0,0,0,3,19
무고,0,1,6,0,0,9,54
공안을 해하는 죄,0,4,2,0,0,0,7
기타,0,1,0,0,0,1,2
개발제한구역의 지정 및 관리에 관한 특별조치법,0,0,0,0,0,0,1
개인정보보호법,0,6,3,0,0,0,10
게임산업진흥에관한법률,0,7,7,0,0,62,92
경범죄처벌법,0,3,23,4,0,35,67
공중위생관리법,1,0,0,0,0,3,7
공직선거법,0,0,3,2,0,7,10
교통사고 처리특례법,1,11,207,0,0,1844,2988
국민체육진흥법,0,2,1,0,0,3,6
근로기준법,0,0,0,0,0,1,3
근로자퇴직급여보장법,0,0,0,0,0,0,1
농수산물의원산지표시에관한법률,0,1,0,0,0,0,1
대기환경보전법,0,0,0,0,0,0,2
대부업등의등록및금융이용자보호에관한법률,0,2,0,0,0,4,7
도로교통법,17,57,1885,3,0,3812,6119
도로법,0,0,0,0,0,3,4
마약류관리에 관한 법률,0,1,21,0,0,15,43
물환경보전법,0,0,0,0,0,1,1
사행행위등규제및처벌특례법,0,1,0,0,0,0,1
상표법,0,2,0,0,0,3,5
성매매알선등행위의처벌에관한법률,72,39,18,0,0,98,261
식품위생법,1,1,1,0,0,7,12
"아동,청소년의성보호에관한법률(성매수등)",68,93,15,1,0,64,262
"아동,청소년의성보호에관한법률(음란물등)",3,4,74,0,0,22,108
아동복지법,1,0,26,7,0,19,50
여객자동차운수사업법,0,0,1,0,0,0,2
여신전문금융업법,8,17,46,0,0,22,99
의료법,0,0,3,0,0,9,14
자동차관리법,4,2,57,0,0,173,262
자동차손해배상보장법,0,5,69,0,0,460,568
저작권법,2,3,14,0,0,33,128
전자금융거래법,43,67,21,0,0,98,274
정보통신망이용촉진 및 정보보호 등에 관한법률,8,74,203,4,0,216,681
조세범 처벌법,0,0,0,0,0,0,3
주민등록법,6,51,381,2,0,372,843
청소년보호법,8,26,214,0,0,543,854
출입국관리법,1,4,1,0,0,3,9
특가법(도주차량),0,0,22,0,0,92,132
풍속영업의 규제에 관한법률,0,0,0,0,0,1,1
학원의설립운영및과외교습에관한법률,0,0,0,0,0,1,1
기타 특별법,29,39,221,5,7,196,572
